Method,ATE,Std Error,CI Lower,CI Upper,Significant
Traditional DiD (TWFE),-0.008136622900033096,0.0035503119331227596,-0.015095163020602752,-0.0011780827794634404,Yes
Double ML,0.012624645564068355,0.003431847073156507,0.005898225300681601,0.01935106582745511,Yes
